,Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F
18121,5100,Africa,1122,"Meat indigenous, ass",5322,Production,Head,59000.0,A,63400.0,A,64600.0,A,74300.0,A,85700.0,A,94900.0,A,103300.0,A,111300.0,A,106600.0,A,107400.0,A,123000.0,A,118000.0,A,103852.0,A,106982.0,A,110616.0,A,114760.0,A,121072.0,A,124600.0,A,125200.0,A,127800.0,A,132000.0,A,142300.0,A,137600.0,A,120400.0,A,109400.0,A,122000.0,A,123800.0,A,144800.0,A,150569.0,A,141508.0,A,150022.0,A,155357.0,A,159515.0,A,158486.0,A,180210.0,A,201645.0,A,200777.0,A,210785.0,A,220299.0,A,247706.0,A,223231.0,A,226151.0,A,227477.0,A,236407.0,A,246985.0,A,248521.0,A,255216.0,A,263003.0,A,273194.0,A,279894.0,A,285600.0,A,286800.0,A,286800.0,A,,,,,,,,
18123,5100,Africa,1122,"Meat indigenous, ass",5510,Production,tonnes,4150.0,A,4466.0,A,4549.0,A,5196.0,A,5957.0,A,6589.0,A,7268.0,A,7748.0,A,7546.0,A,7598.0,A,8838.0,A,8526.0,A,7476.0,A,7619.0,A,7872.0,A,8151.0,A,8599.0,A,8806.0,A,8822.0,A,8942.0,A,9211.0,A,9819.0,A,9526.0,A,8124.0,A,7313.0,A,8320.0,A,8418.0,A,9677.0,A,10041.0,A,9825.0,A,10438.0,A,10735.0,A,11000.0,A,10866.0,A,12504.0,A,14137.0,A,13964.0,A,14668.0,A,15316.0,A,17346.0,A,15503.0,A,15664.0,A,15680.0,A,16278.0,A,16870.0,A,17003.0,A,17414.0,A,17910.0,A,18535.0,A,18992.0,A,19338.0,A,19400.0,A,19400.0,A,,,,,,,,
18124,5100,Africa,1084,"Meat indigenous, bird nes",5323,Production,1000 Head,18000.0,A,18000.0,A,17500.0,A,17500.0,A,17000.0,A,16500.0,A,16000.0,A,15000.0,A,14000.0,A,13000.0,A,13000.0,A,12000.0,A,11500.0,A,10800.0,A,10000.0,A,9300.0,A,8600.0,A,7850.0,A,7000.0,A,7200.0,A,11000.0,A,16500.0,A,24000.0,A,27500.0,A,28300.0,A,29000.0,A,30000.0,A,31000.0,A,32000.0,A,32500.0,A,33750.0,A,34700.0,A,35701.0,A,35751.0,A,37381.0,A,39013.0,A,40022.0,A,41016.0,A,42274.0,A,42528.0,A,42786.0,A,43047.0,A,43051.0,A,43055.0,A,42937.0,A,43058.0,A,43065.0,A,43070.0,A,43075.0,A,43181.0,A,43181.0,A,43181.0,A,43181.0,A,,,,,,,,
18126,5100,Africa,1084,"Meat indigenous, bird nes",5510,Production,tonnes,5400.0,A,5400.0,A,5250.0,A,5250.0,A,5100.0,A,4950.0,A,4800.0,A,4500.0,A,4200.0,A,3900.0,A,3900.0,A,3600.0,A,3450.0,A,3240.0,A,3000.0,A,2790.0,A,2580.0,A,2355.0,A,2100.0,A,2160.0,A,3300.0,A,4950.0,A,7200.0,A,8250.0,A,8490.0,A,8700.0,A,9000.0,A,9300.0,A,9600.0,A,9750.0,A,10125.0,A,10410.0,A,10760.0,A,10775.0,A,11463.0,A,12350.0,A,13050.0,A,13050.0,A,13726.0,A,14150.0,A,14575.0,A,14952.0,A,15400.0,A,15551.0,A,15615.0,A,15800.0,A,16150.0,A,16400.0,A,16650.0,A,16980.0,A,16980.0,A,16980.0,A,16980.0,A,,,,,,,,
18127,5100,Africa,972,"Meat indigenous, buffalo",5322,Production,Head,496000.0,A,504000.0,A,511000.0,A,519000.0,A,527000.0,A,535000.0,A,542000.0,A,648000.0,A,700000.0,A,695000.0,A,731000.0,A,751000.0,A,771000.0,A,790000.0,A,809000.0,A,828000.0,A,847000.0,A,890143.0,A,919661.0,A,934078.0,A,956109.0,A,960000.0,A,970000.0,A,1019333.0,A,1003957.0,A,1017614.0,A,1021612.0,A,1028282.0,A,1070000.0,A,1215014.0,A,1250000.0,A,1300000.0,A,1330000.0,A,1280000.0,A,1375000.0,A,1370000.0,A,1450000.0,A,1520000.0,A,1580000.0,A,1640000.0,A,1073468.0,A,1156965.0,A,1305100.0,A,1300000.0,A,1169000.0,A,1180000.0,A,1230000.0,A,1182000.0,A,1228000.0,A,1262000.0,A,1271000.0,A,1205000.0,A,1220000.0,A,,,,,,,,
18129,5100,Africa,972,"Meat indigenous, buffalo",5510,Production,tonnes,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,160989.0,A,167000.0,A,171990.0,A,175959.0,A,170752.0,A,179300.0,A,208377.0,A,255490.0,A,266304.0,A,276974.0,A,287984.0,A,188501.0,A,203163.0,A,229176.0,A,268710.0,A,270039.0,A,301018.0,A,338004.0,A,375049.0,A,411871.0,A,398413.0,A,395789.0,A,384877.0,A,389912.0,A,,,,,,,,
18130,5100,Africa,1137,"Meat indigenous, camel",5322,Production,Head,473614.0,A,484532.0,A,562400.0,A,496538.0,A,532219.0,A,626430.0,A,623494.0,A,633717.0,A,630304.0,A,635498.0,A,642730.0,A,617865.0,A,589983.0,A,582721.0,A,602610.0,A,618650.0,A,604159.0,A,586900.0,A,596645.0,A,658823.0,A,644186.0,A,721174.0,A,705418.0,A,738603.0,A,718950.0,A,694826.0,A,680843.0,A,725261.0,A,785094.0,A,841354.0,A,872020.0,A,898552.0,A,838930.0,A,920672.0,A,980635.0,A,1052907.0,A,1095724.0,A,1174324.0,A,1138383.0,A,1195167.0,A,1277755.0,A,1278142.0,A,1296607.0,A,1358808.0,A,1181989.0,A,1407322.0,A,1620582.0,A,1827601.0,A,1753705.0,A,1991814.0,A,2078812.0,A,1518289.0,A,1507604.0,A,,,,,,,,
18132,5100,Africa,1137,"Meat indigenous, camel",5510,Production,tonnes,86018.0,A,88187.0,A,105151.0,A,89747.0,A,97309.0,A,117064.0,A,114788.0,A,115795.0,A,116156.0,A,115715.0,A,118825.0,A,112723.0,A,108896.0,A,105632.0,A,108964.0,A,112610.0,A,110383.0,A,107148.0,A,110440.0,A,121196.0,A,117554.0,A,133844.0,A,135693.0,A,142597.0,A,139236.0,A,134983.0,A,129263.0,A,138383.0,A,153510.0,A,161846.0,A,168037.0,A,172955.0,A,166168.0,A,185127.0,A,197236.0,A,213661.0,A,221861.0,A,239409.0,A,230795.0,A,240357.0,A,256947.0,A,254576.0,A,258938.0,A,275794.0,A,235125.0,A,284459.0,A,337760.0,A,389807.0,A,364037.0,A,407724.0,A,422457.0,A,433619.0,A,432156.0,A,,,,,,,,
18133,5100,Africa,944,"Meat indigenous, cattle",5322,Production,Head,13292929.0,A,13383421.0,A,13367728.0,A,13800915.0,A,14089282.0,A,14794061.0,A,14918067.0,A,15471056.0,A,15782320.0,A,16243094.0,A,16227822.0,A,16652303.0,A,17536356.0,A,17622247.0,A,17135910.0,A,17870065.0,A,18695412.0,A,19770106.0,A,20199281.0,A,20745662.0,A,20100794.0,A,20887973.0,A,21206288.0,A,21401851.0,A,21620170.0,A,22257670.0,A,21641791.0,A,22009225.0,A,22106077.0,A,23077587.0,A,23783846.0,A,24015192.0,A,24517818.0,A,24228443.0,A,24270286.0,A,24676173.0,A,25034449.0,A,26154879.0,A,27393455.0,A,28563066.0,A,27310566.0,A,28402720.0,A,28936668.0,A,29391713.0,A,30554465.0,A,31181133.0,A,31464880.0,A,33006342.0,A,33263477.0,A,34298899.0,A,35021184.0,A,32829340.0,A,33274070.0,A,,,,,,,,
18135,5100,Africa,944,"Meat indigenous, cattle",5510,Production,tonnes,1796412.0,A,1787230.0,A,1835440.0,A,1905052.0,A,1946785.0,A,2008912.0,A,2014471.0,A,2042182.0,A,2130367.0,A,2200595.0,A,2186301.0,A,2251414.0,A,2351365.0,A,2383449.0,A,2342665.0,A,2473268.0,A,2582018.0,A,2736554.0,A,2822081.0,A,2885495.0,A,2853228.0,A,3004979.0,A,3029733.0,A,3073919.0,A,3153066.0,A,3066822.0,A,2999241.0,A,2986025.0,A,3045842.0,A,3304253.0,A,3468596.0,A,3511743.0,A,3540377.0,A,3434640.0,A,3370702.0,A,3490650.0,A,3546874.0,A,3634872.0,A,3808340.0,A,3992238.0,A,3913230.0,A,4121371.0,A,4264111.0,A,4374265.0,A,4634537.0,A,4839119.0,A,4948653.0,A,5165717.0,A,5184400.0,A,5374932.0,A,5408191.0,A,5444596.0,A,5584550.0,A,,,,,,,,
