,Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F
17943,5000,World,1122,"Meat indigenous, ass",5322,Production,Head,248353.0,A,280300.0,A,276345.0,A,294170.0,A,329747.0,A,347045.0,A,354907.0,A,364706.0,A,362606.0,A,372156.0,A,405004.0,A,409708.0,A,382752.0,A,382231.0,A,378577.0,A,382092.0,A,369151.0,A,373664.0,A,367032.0,A,364734.0,A,381710.0,A,404234.0,A,414279.0,A,401132.0,A,397910.0,A,423007.0,A,428722.0,A,459033.0,A,474804.0,A,475555.0,A,493334.0,A,2159204.0,A,2138229.0,A,2122135.0,A,2149878.0,A,2353772.0,A,2092830.0,A,2093311.0,A,2166286.0,A,2267825.0,A,2256476.0,A,2344154.0,A,2353411.0,A,2414891.0,A,2420514.0,A,2482843.0,A,2419004.0,A,2416003.0,A,2555194.0,A,2574894.0,A,2687600.0,A,2690126.0,A,2689838.0,A
17945,5000,World,1122,"Meat indigenous, ass",5510,Production,tonnes,19452.0,A,22067.0,A,21656.0,A,22948.0,A,25996.0,A,26937.0,A,27591.0,A,28229.0,A,28245.0,A,29024.0,A,31652.0,A,32230.0,A,30079.0,A,29800.0,A,29486.0,A,29981.0,A,28689.0,A,28991.0,A,28266.0,A,28089.0,A,29199.0,A,30830.0,A,31757.0,A,30679.0,A,30480.0,A,32456.0,A,32845.0,A,34866.0,A,36019.0,A,36664.0,A,37995.0,A,171167.0,A,169452.0,A,168138.0,A,170249.0,A,186541.0,A,165549.0,A,165506.0,A,171192.0,A,179115.0,A,178332.0,A,185288.0,A,185946.0,A,190735.0,A,190940.0,A,196055.0,A,190796.0,A,190390.0,A,201298.0,A,202808.0,A,211697.0,A,211865.0,A,211842.0,A
17946,5000,World,1084,"Meat indigenous, bird nes",5323,Production,1000 Head,23890.0,A,24190.0,A,23995.0,A,24325.0,A,24130.0,A,23655.0,A,21155.0,A,21010.0,A,20690.0,A,20270.0,A,22795.0,A,19950.0,A,17710.0,A,15830.0,A,15420.0,A,15090.0,A,14180.0,A,14400.0,A,13675.0,A,14760.0,A,20140.0,A,27670.0,A,36990.0,A,42160.0,A,42610.0,A,43460.0,A,43810.0,A,42727.0,A,43793.0,A,45158.0,A,46512.0,A,49589.0,A,52629.0,A,52115.0,A,53275.0,A,55477.0,A,56706.0,A,55325.0,A,56309.0,A,56496.0,A,55966.0,A,56366.0,A,56834.0,A,57022.0,A,56085.0,A,56375.0,A,56414.0,A,56298.0,A,55808.0,A,55481.0,A,55195.0,A,55165.0,A,55165.0,A
17948,5000,World,1084,"Meat indigenous, bird nes",5510,Production,tonnes,7502.0,A,7622.0,A,7593.0,A,7718.0,A,7689.0,A,7543.0,A,6593.0,A,6620.0,A,6597.0,A,6508.0,A,7516.0,A,6463.0,A,5601.0,A,4932.0,A,4830.0,A,4752.0,A,4439.0,A,4583.0,A,4344.0,A,4628.0,A,5946.0,A,8101.0,A,10315.0,A,11453.0,A,11495.0,A,11836.0,A,12205.0,A,12280.0,A,12660.0,A,12912.0,A,13126.0,A,13711.0,A,14454.0,A,14370.0,A,14848.0,A,15987.0,A,16757.0,A,16503.0,A,17174.0,A,17604.0,A,17738.0,A,18099.0,A,18718.0,A,18870.0,A,18868.0,A,19169.0,A,19600.0,A,19790.0,A,19841.0,A,20014.0,A,19911.0,A,19809.0,A,19809.0,A
17949,5000,World,972,"Meat indigenous, buffalo",5322,Production,Head,7805047.0,A,8043009.0,A,8163032.0,A,8441039.0,A,8594281.0,A,8706987.0,A,8927760.0,A,9265468.0,A,9447093.0,A,9644508.0,A,9922358.0,A,10093572.0,A,10426769.0,A,10713375.0,A,10796468.0,A,11033527.0,A,11254740.0,A,11441825.0,A,11748957.0,A,11961871.0,A,12301970.0,A,13089460.0,A,13279665.0,A,13615447.0,A,14246989.0,A,14737131.0,A,14826281.0,A,16025397.0,A,15870754.0,A,16267092.0,A,16756876.0,A,17193763.0,A,17963844.0,A,18414681.0,A,19197837.0,A,17966159.0,A,19330868.0,A,19660709.0,A,20313485.0,A,20524070.0,A,20378126.0,A,20767358.0,A,20316848.0,A,20925302.0,A,21304914.0,A,22074711.0,A,22891777.0,A,23182941.0,A,23622650.0,A,24521142.0,A,24847946.0,A,26049117.0,A,25826327.0,A
17951,5000,World,972,"Meat indigenous, buffalo",5510,Production,tonnes,1004696.0,A,1034090.0,A,1042445.0,A,1080788.0,A,1099395.0,A,1114288.0,A,1141209.0,A,1177338.0,A,1196890.0,A,1227720.0,A,1247406.0,A,1264497.0,A,1321056.0,A,1359159.0,A,1357275.0,A,1385389.0,A,1393528.0,A,1412088.0,A,1455855.0,A,1484770.0,A,1554417.0,A,1684155.0,A,1710242.0,A,1764377.0,A,1854717.0,A,1959791.0,A,1967285.0,A,2062641.0,A,2059122.0,A,2263597.0,A,2333048.0,A,2395507.0,A,2503710.0,A,2558331.0,A,2644960.0,A,2490192.0,A,2680507.0,A,2714104.0,A,2796057.0,A,2837887.0,A,2751637.0,A,2813300.0,A,2790262.0,A,2912663.0,A,2981210.0,A,3134354.0,A,3282923.0,A,3352432.0,A,3440796.0,A,3556672.0,A,3586028.0,A,3824186.0,A,3715622.0,A
17952,5000,World,1137,"Meat indigenous, camel",5322,Production,Head,712886.0,A,731965.0,A,808067.0,A,750616.0,A,786383.0,A,877886.0,A,890290.0,A,891145.0,A,877125.0,A,889055.0,A,907260.0,A,894211.0,A,895474.0,A,959855.0,A,944776.0,A,940923.0,A,943440.0,A,898513.0,A,919040.0,A,968008.0,A,938163.0,A,1007782.0,A,1008391.0,A,1071436.0,A,1066676.0,A,1026932.0,A,1017803.0,A,1075366.0,A,1166631.0,A,1260737.0,A,1301664.0,A,1328379.0,A,1227329.0,A,1287611.0,A,1353713.0,A,1452609.0,A,1515025.0,A,1631867.0,A,1549736.0,A,1675509.0,A,1815874.0,A,1783454.0,A,1790584.0,A,1834227.0,A,1685515.0,A,1897055.0,A,2113415.0,A,2345457.0,A,2262150.0,A,2567754.0,A,2559749.0,A,2001119.0,A,1998842.0,A
17954,5000,World,1137,"Meat indigenous, camel",5510,Production,tonnes,135957.0,A,139777.0,A,156328.0,A,142788.0,A,150542.0,A,169331.0,A,170804.0,A,169049.0,A,167152.0,A,167822.0,A,173542.0,A,169724.0,A,171537.0,A,186519.0,A,181959.0,A,181480.0,A,182788.0,A,173760.0,A,179852.0,A,187681.0,A,180323.0,A,194914.0,A,200231.0,A,213660.0,A,213609.0,A,206621.0,A,201283.0,A,213130.0,A,234716.0,A,251653.0,A,259605.0,A,264374.0,A,250606.0,A,263629.0,A,273701.0,A,299370.0,A,307247.0,A,333796.0,A,318107.0,A,342269.0,A,368552.0,A,358463.0,A,361700.0,A,372231.0,A,336079.0,A,382108.0,A,438382.0,A,495546.0,A,467667.0,A,524328.0,A,519179.0,A,529972.0,A,530474.0,A
17955,5000,World,944,"Meat indigenous, cattle",5322,Production,Head,172929916.0,A,184249777.0,A,193681194.0,A,191736098.0,A,191603959.0,A,196510926.0,A,204512219.0,A,210866048.0,A,211414911.0,A,210455400.0,A,204135975.0,A,203809381.0,A,203680184.0,A,216957900.0,A,233464382.0,A,243508927.0,A,243797618.0,A,245603276.0,A,237220673.0,A,235365103.0,A,237449685.0,A,238997489.0,A,240894633.0,A,246482989.0,A,246612624.0,A,253696927.0,A,251025842.0,A,250111220.0,A,250020114.0,A,254082412.0,A,256074515.0,A,254066763.0,A,254763233.0,A,257822186.0,A,259933820.0,A,261190552.0,A,268377501.0,A,269245608.0,A,271011606.0,A,272392865.0,A,268262691.0,A,272908081.0,A,278585178.0,A,281454790.0,A,284160712.0,A,288260188.0,A,292766177.0,A,294763649.0,A,295836985.0,A,296508510.0,A,295080639.0,A,291416771.0,A,294129461.0,A
17957,5000,World,944,"Meat indigenous, cattle",5510,Production,tonnes,27695830.0,A,29143796.0,A,30739548.0,A,31144060.0,A,31775297.0,A,33502126.0,A,35232867.0,A,36882618.0,A,37872107.0,A,38221217.0,A,37843975.0,A,38333413.0,A,38578982.0,A,41692204.0,A,43757787.0,A,46014567.0,A,46342636.0,A,46929101.0,A,45584451.0,A,45501311.0,A,45721724.0,A,45801765.0,A,47048494.0,A,48358710.0,A,49153655.0,A,50930574.0,A,50854205.0,A,51242229.0,A,51508077.0,A,53150941.0,A,53769711.0,A,53008799.0,A,52505120.0,A,52969169.0,A,53486322.0,A,54412866.0,A,54972680.0,A,54576199.0,A,55642189.0,A,56239848.0,A,55319751.0,A,56769339.0,A,57200170.0,A,57990490.0,A,59282213.0,A,60920339.0,A,62063389.0,A,62250070.0,A,62354479.0,A,63075060.0,A,62758177.0,A,62259710.0,A,63361528.0,A
17958,5000,World,1094,"Meat indigenous, chicken",5323,Production,1000 Head,6614521.0,A,6875991.0,A,7246265.0,A,7513176.0,A,8160493.0,A,8305701.0,A,9184662.0,A,9504301.0,A,10176557.0,A,11049160.0,A,11417920.0,A,12197482.0,A,12733862.0,A,13222977.0,A,13409102.0,A,14315100.0,A,15229322.0,A,16259833.0,A,17491440.0,A,18440660.0,A,19437570.0,A,20095493.0,A,20531752.0,A,20886854.0,A,21807883.0,A,22900125.0,A,24551271.0,A,25495711.0,A,25868933.0,A,27216668.0,A,28304634.0,A,29270565.0,A,30728460.0,A,32031252.0,A,34266733.0,A,35196575.0,A,36433921.0,A,37177450.0,A,39057952.0,A,40634623.0,A,42168615.0,A,43728375.0,A,44512976.0,A,45344357.0,A,47493800.0,A,48252839.0,A,51111657.0,A,53677112.0,A,55614099.0,A,56711842.0,A,58420790.0,A,59928224.0,A,61254186.0,A
