,Area Code,Area,Item Code,Item,Element Code,Element,Unit,Year,Value,Flag
4375,5100,Africa,1122,"Meat indigenous, ass",5510,Production,tonnes,1961,4150.0,A
4376,5100,Africa,1084,"Meat indigenous, bird nes",5510,Production,tonnes,1961,5400.0,A
4377,5100,Africa,972,"Meat indigenous, buffalo",5510,Production,tonnes,1961,,A
4378,5100,Africa,1137,"Meat indigenous, camel",5510,Production,tonnes,1961,86018.0,A
4379,5100,Africa,944,"Meat indigenous, cattle",5510,Production,tonnes,1961,1796412.0,A
4380,5100,Africa,1094,"Meat indigenous, chicken",5510,Production,tonnes,1961,268258.0,A
4381,5100,Africa,1070,"Meat indigenous, duck",5510,Production,tonnes,1961,17114.0,A
4382,5100,Africa,1077,"Meat indigenous, geese",5510,Production,tonnes,1961,16287.0,A
4383,5100,Africa,1032,"Meat indigenous, goat",5510,Production,tonnes,1961,313546.0,A
4384,5100,Africa,1120,"Meat indigenous, horse",5510,Production,tonnes,1961,10021.0,A
4385,5100,Africa,1055,"Meat indigenous, pig",5510,Production,tonnes,1961,185508.0,A
4386,5100,Africa,1144,"Meat indigenous, rabbit",5510,Production,tonnes,1961,11734.0,A
4387,5100,Africa,1012,"Meat indigenous, sheep",5510,Production,tonnes,1961,481960.0,A
4388,5100,Africa,1087,"Meat indigenous, turkey",5510,Production,tonnes,1961,6709.0,A
4389,5100,Africa,1108,"Meat, ass",5510,Production,tonnes,1961,3910.0,A
4390,5100,Africa,1089,"Meat, bird nes",5510,Production,tonnes,1961,5400.0,A
4391,5100,Africa,947,"Meat, buffalo",5510,Production,tonnes,1961,83000.0,A
4392,5100,Africa,1127,"Meat, camel",5510,Production,tonnes,1961,69682.0,A
4393,5100,Africa,867,"Meat, cattle",5510,Production,tonnes,1961,1877373.0,A
4394,5100,Africa,1058,"Meat, chicken",5510,Production,tonnes,1961,315963.0,A
4395,5100,Africa,1069,"Meat, duck",5510,Production,tonnes,1961,17114.0,A
4396,5100,Africa,1163,"Meat, game",5510,Production,tonnes,1961,393610.0,A
4397,5100,Africa,1017,"Meat, goat",5510,Production,tonnes,1961,308720.0,A
4398,5100,Africa,1073,"Meat, goose and guinea fowl",5510,Production,tonnes,1961,16287.0,A
4399,5100,Africa,1097,"Meat, horse",5510,Production,tonnes,1961,8306.0,A
4400,5100,Africa,1166,"Meat, nes",5510,Production,tonnes,1961,138400.0,A
4401,5100,Africa,1035,"Meat, pig",5510,Production,tonnes,1961,184915.0,A
4402,5100,Africa,1141,"Meat, rabbit",5510,Production,tonnes,1961,11734.0,A
4403,5100,Africa,977,"Meat, sheep",5510,Production,tonnes,1961,469429.0,A
4404,5100,Africa,1080,"Meat, turkey",5510,Production,tonnes,1961,6709.0,A
4405,5100,Africa,1806,Beef and Buffalo Meat,5510,Production,tonnes,1961,1960373.0,A
4406,5100,Africa,1775,"Meat indigenous, poultry",5510,Production,tonnes,1961,313769.0,A
4407,5100,Africa,1770,"Meat indigenous, total",5510,Production,tonnes,1961,3735128.0,A
4408,5100,Africa,1808,"Meat, Poultry",5510,Production,tonnes,1961,361473.0,A
4409,5100,Africa,1765,"Meat, Total",5510,Production,tonnes,1961,3910553.0,A
4410,5100,Africa,1807,Sheep and Goat Meat,5510,Production,tonnes,1961,778149.0,A
4593,5203,Northern America,944,"Meat indigenous, cattle",5510,Production,tonnes,1961,8044851.0,A
4594,5203,Northern America,1094,"Meat indigenous, chicken",5510,Production,tonnes,1961,2803403.0,A
4595,5203,Northern America,1070,"Meat indigenous, duck",5510,Production,tonnes,1961,21260.0,A
4596,5203,Northern America,1077,"Meat indigenous, geese",5510,Production,tonnes,1961,1187.0,A
4597,5203,Northern America,1032,"Meat indigenous, goat",5510,Production,tonnes,1961,1.0,A
4598,5203,Northern America,1120,"Meat indigenous, horse",5510,Production,tonnes,1961,28101.0,A
4599,5203,Northern America,1055,"Meat indigenous, pig",5510,Production,tonnes,1961,5708940.0,A
4600,5203,Northern America,1012,"Meat indigenous, sheep",5510,Production,tonnes,1961,391990.0,A
4601,5203,Northern America,1087,"Meat indigenous, turkey",5510,Production,tonnes,1961,743139.0,A
4602,5203,Northern America,867,"Meat, cattle",5510,Production,tonnes,1961,8081148.0,A
4603,5203,Northern America,1058,"Meat, chicken",5510,Production,tonnes,1961,2796833.0,A
4604,5203,Northern America,1069,"Meat, duck",5510,Production,tonnes,1961,21260.0,A
4605,5203,Northern America,1163,"Meat, game",5510,Production,tonnes,1961,217000.0,A
4606,5203,Northern America,1017,"Meat, goat",5510,Production,tonnes,1961,1.0,A
4607,5203,Northern America,1073,"Meat, goose and guinea fowl",5510,Production,tonnes,1961,1187.0,A
4608,5203,Northern America,1097,"Meat, horse",5510,Production,tonnes,1961,26750.0,A
4609,5203,Northern America,1166,"Meat, nes",5510,Production,tonnes,1961,2910.0,A
4610,5203,Northern America,1035,"Meat, pig",5510,Production,tonnes,1961,5708223.0,A
4611,5203,Northern America,977,"Meat, sheep",5510,Production,tonnes,1961,393264.0,A
4612,5203,Northern America,1080,"Meat, turkey",5510,Production,tonnes,1961,743448.0,A
4613,5203,Northern America,1806,Beef and Buffalo Meat,5510,Production,tonnes,1961,8081148.0,A
4614,5203,Northern America,1775,"Meat indigenous, poultry",5510,Production,tonnes,1961,3568989.0,A
4615,5203,Northern America,1770,"Meat indigenous, total",5510,Production,tonnes,1961,17962783.0,A
4616,5203,Northern America,1808,"Meat, Poultry",5510,Production,tonnes,1961,3562728.0,A
4617,5203,Northern America,1765,"Meat, Total",5510,Production,tonnes,1961,17992024.0,A
4618,5203,Northern America,1807,Sheep and Goat Meat,5510,Production,tonnes,1961,393265.0,A
4670,5207,South America,944,"Meat indigenous, cattle",5510,Production,tonnes,1961,4646669.0,A
4671,5207,South America,1094,"Meat indigenous, chicken",5510,Production,tonnes,1961,300147.0,A
4672,5207,South America,1070,"Meat indigenous, duck",5510,Production,tonnes,1961,7654.0,A
4673,5207,South America,1077,"Meat indigenous, geese",5510,Production,tonnes,1961,538.0,A
4674,5207,South America,1032,"Meat indigenous, goat",5510,Production,tonnes,1961,64106.0,A
4675,5207,South America,1120,"Meat indigenous, horse",5510,Production,tonnes,1961,76437.0,A
4676,5207,South America,1161,"Meat indigenous, other camelids",5510,Production,tonnes,1961,26704.0,A
4677,5207,South America,1055,"Meat indigenous, pig",5510,Production,tonnes,1961,986239.0,A
4678,5207,South America,1144,"Meat indigenous, rabbit",5510,Production,tonnes,1961,9881.0,A
4679,5207,South America,1154,"Meat indigenous, rodents",5510,Production,tonnes,1961,20690.0,A
4680,5207,South America,1012,"Meat indigenous, sheep",5510,Production,tonnes,1961,317111.0,A
4681,5207,South America,1087,"Meat indigenous, turkey",5510,Production,tonnes,1961,7312.0,A
4682,5207,South America,867,"Meat, cattle",5510,Production,tonnes,1961,4666466.0,A
4683,5207,South America,1058,"Meat, chicken",5510,Production,tonnes,1961,300809.0,A
4684,5207,South America,1069,"Meat, duck",5510,Production,tonnes,1961,7654.0,A
4685,5207,South America,1163,"Meat, game",5510,Production,tonnes,1961,30000.0,A
4686,5207,South America,1017,"Meat, goat",5510,Production,tonnes,1961,64106.0,A
4687,5207,South America,1073,"Meat, goose and guinea fowl",5510,Production,tonnes,1961,538.0,A
4688,5207,South America,1097,"Meat, horse",5510,Production,tonnes,1961,76310.0,A
4689,5207,South America,1166,"Meat, nes",5510,Production,tonnes,1961,3000.0,A
4690,5207,South America,1158,"Meat, other camelids",5510,Production,tonnes,1961,26702.0,A
4691,5207,South America,1151,"Meat, other rodents",5510,Production,tonnes,1961,20660.0,A
4692,5207,South America,1035,"Meat, pig",5510,Production,tonnes,1961,986423.0,A
4693,5207,South America,1141,"Meat, rabbit",5510,Production,tonnes,1961,9885.0,A
4694,5207,South America,977,"Meat, sheep",5510,Production,tonnes,1961,317250.0,A
4695,5207,South America,1080,"Meat, turkey",5510,Production,tonnes,1961,7312.0,A
4696,5207,South America,1806,Beef and Buffalo Meat,5510,Production,tonnes,1961,4666466.0,A
4697,5207,South America,1775,"Meat indigenous, poultry",5510,Production,tonnes,1961,315652.0,A
4698,5207,South America,1770,"Meat indigenous, total",5510,Production,tonnes,1961,6496489.0,A
4699,5207,South America,1808,"Meat, Poultry",5510,Production,tonnes,1961,316314.0,A
4700,5207,South America,1765,"Meat, Total",5510,Production,tonnes,1961,6517115.0,A
4701,5207,South America,1807,Sheep and Goat Meat,5510,Production,tonnes,1961,381355.0,A
4702,5300,Asia,1122,"Meat indigenous, ass",5510,Production,tonnes,1961,12800.0,A
4703,5300,Asia,1084,"Meat indigenous, bird nes",5510,Production,tonnes,1961,2102.0,A
4704,5300,Asia,972,"Meat indigenous, buffalo",5510,Production,tonnes,1961,995512.0,A
4705,5300,Asia,1137,"Meat indigenous, camel",5510,Production,tonnes,1961,49939.0,A
4706,5300,Asia,944,"Meat indigenous, cattle",5510,Production,tonnes,1961,1742935.0,A
4707,5300,Asia,1094,"Meat indigenous, chicken",5510,Production,tonnes,1961,1223522.0,A
4708,5300,Asia,1070,"Meat indigenous, duck",5510,Production,tonnes,1961,206132.0,A
4709,5300,Asia,1077,"Meat indigenous, geese",5510,Production,tonnes,1961,69537.0,A
4710,5300,Asia,1032,"Meat indigenous, goat",5510,Production,tonnes,1961,584220.0,A
4711,5300,Asia,1120,"Meat indigenous, horse",5510,Production,tonnes,1961,97262.0,A
4712,5300,Asia,1124,"Meat indigenous, mule",5510,Production,tonnes,1961,2500.0,A
4713,5300,Asia,1055,"Meat indigenous, pig",5510,Production,tonnes,1961,2904981.0,A
4714,5300,Asia,1144,"Meat indigenous, rabbit",5510,Production,tonnes,1961,15660.0,A
4715,5300,Asia,1012,"Meat indigenous, sheep",5510,Production,tonnes,1961,861245.0,A
4716,5300,Asia,1087,"Meat indigenous, turkey",5510,Production,tonnes,1961,12668.0,A
4717,5300,Asia,1108,"Meat, ass",5510,Production,tonnes,1961,12800.0,A
4718,5300,Asia,1089,"Meat, bird nes",5510,Production,tonnes,1961,2102.0,A
4719,5300,Asia,947,"Meat, buffalo",5510,Production,tonnes,1961,978970.0,A
4720,5300,Asia,1127,"Meat, camel",5510,Production,tonnes,1961,53624.0,A
4721,5300,Asia,867,"Meat, cattle",5510,Production,tonnes,1961,1750294.0,A
4722,5300,Asia,1058,"Meat, chicken",5510,Production,tonnes,1961,1211824.0,A
4723,5300,Asia,1069,"Meat, duck",5510,Production,tonnes,1961,206132.0,A
4724,5300,Asia,1163,"Meat, game",5510,Production,tonnes,1961,16120.0,A
4725,5300,Asia,1017,"Meat, goat",5510,Production,tonnes,1961,588988.0,A
4726,5300,Asia,1073,"Meat, goose and guinea fowl",5510,Production,tonnes,1961,69537.0,A
4727,5300,Asia,1097,"Meat, horse",5510,Production,tonnes,1961,79269.0,A
4728,5300,Asia,1111,"Meat, mule",5510,Production,tonnes,1961,2500.0,A
4729,5300,Asia,1166,"Meat, nes",5510,Production,tonnes,1961,295710.0,A
4730,5300,Asia,1035,"Meat, pig",5510,Production,tonnes,1961,2902857.0,A
4731,5300,Asia,1141,"Meat, rabbit",5510,Production,tonnes,1961,15660.0,A
4732,5300,Asia,977,"Meat, sheep",5510,Production,tonnes,1961,846984.0,A
4733,5300,Asia,1080,"Meat, turkey",5510,Production,tonnes,1961,12668.0,A
4734,5300,Asia,1806,Beef and Buffalo Meat,5510,Production,tonnes,1961,2729264.0,A
4735,5300,Asia,1775,"Meat indigenous, poultry",5510,Production,tonnes,1961,1513962.0,A
4736,5300,Asia,1770,"Meat indigenous, total",5510,Production,tonnes,1961,9092846.0,A
4737,5300,Asia,1808,"Meat, Poultry",5510,Production,tonnes,1961,1502264.0,A
4738,5300,Asia,1765,"Meat, Total",5510,Production,tonnes,1961,9046039.0,A
4739,5300,Asia,1807,Sheep and Goat Meat,5510,Production,tonnes,1961,1435972.0,A
4891,5400,Europe,1122,"Meat indigenous, ass",5510,Production,tonnes,1961,2502.0,A
4892,5400,Europe,972,"Meat indigenous, buffalo",5510,Production,tonnes,1961,9163.0,A
4893,5400,Europe,1137,"Meat indigenous, camel",5510,Production,tonnes,1961,,
4894,5400,Europe,944,"Meat indigenous, cattle",5510,Production,tonnes,1961,9743297.0,A
4895,5400,Europe,1094,"Meat indigenous, chicken",5510,Production,tonnes,1961,2686639.0,A
4896,5400,Europe,1070,"Meat indigenous, duck",5510,Production,tonnes,1961,76283.0,A
4897,5400,Europe,1077,"Meat indigenous, geese",5510,Production,tonnes,1961,61987.0,A
4898,5400,Europe,1032,"Meat indigenous, goat",5510,Production,tonnes,1961,121072.0,A
4899,5400,Europe,1120,"Meat indigenous, horse",5510,Production,tonnes,1961,275120.0,A
4900,5400,Europe,1124,"Meat indigenous, mule",5510,Production,tonnes,1961,6969.0,A
4901,5400,Europe,1055,"Meat indigenous, pig",5510,Production,tonnes,1961,14259679.0,A
4902,5400,Europe,1144,"Meat indigenous, rabbit",5510,Production,tonnes,1961,358470.0,A
4903,5400,Europe,1012,"Meat indigenous, sheep",5510,Production,tonnes,1961,1837590.0,A
4904,5400,Europe,1087,"Meat indigenous, turkey",5510,Production,tonnes,1961,111653.0,A
4905,5400,Europe,1108,"Meat, ass",5510,Production,tonnes,1961,2491.0,A
4906,5400,Europe,1089,"Meat, bird nes",5510,Production,tonnes,1961,2500.0,A
4907,5400,Europe,947,"Meat, buffalo",5510,Production,tonnes,1961,9163.0,A
4908,5400,Europe,1127,"Meat, camel",5510,Production,tonnes,1961,,
4909,5400,Europe,867,"Meat, cattle",5510,Production,tonnes,1961,9682481.0,A
4910,5400,Europe,1058,"Meat, chicken",5510,Production,tonnes,1961,2679496.0,A
4911,5400,Europe,1069,"Meat, duck",5510,Production,tonnes,1961,76283.0,A
4912,5400,Europe,1163,"Meat, game",5510,Production,tonnes,1961,67567.0,A
4913,5400,Europe,1017,"Meat, goat",5510,Production,tonnes,1961,121151.0,A
4914,5400,Europe,1073,"Meat, goose and guinea fowl",5510,Production,tonnes,1961,61987.0,A
4915,5400,Europe,1097,"Meat, horse",5510,Production,tonnes,1961,304690.0,A
4916,5400,Europe,1111,"Meat, mule",5510,Production,tonnes,1961,6996.0,A
4917,5400,Europe,1166,"Meat, nes",5510,Production,tonnes,1961,433280.0,A
4918,5400,Europe,1035,"Meat, pig",5510,Production,tonnes,1961,14248115.0,A
4919,5400,Europe,1141,"Meat, rabbit",5510,Production,tonnes,1961,359413.0,A
4920,5400,Europe,977,"Meat, sheep",5510,Production,tonnes,1961,1837062.0,A
4921,5400,Europe,1080,"Meat, turkey",5510,Production,tonnes,1961,111405.0,A
4922,5400,Europe,1806,Beef and Buffalo Meat,5510,Production,tonnes,1961,9691644.0,A
4923,5400,Europe,1775,"Meat indigenous, poultry",5510,Production,tonnes,1961,2936562.0,A
4924,5400,Europe,1770,"Meat indigenous, total",5510,Production,tonnes,1961,30051270.0,A
4925,5400,Europe,1808,"Meat, Poultry",5510,Production,tonnes,1961,2931671.0,A
4926,5400,Europe,1765,"Meat, Total",5510,Production,tonnes,1961,30004080.0,A
4927,5400,Europe,1807,Sheep and Goat Meat,5510,Production,tonnes,1961,1958213.0,A
5055,5500,Oceania,972,"Meat indigenous, buffalo",5510,Production,tonnes,1961,21.0,A
5056,5500,Oceania,944,"Meat indigenous, cattle",5510,Production,tonnes,1961,889217.0,A
5057,5500,Oceania,1094,"Meat indigenous, chicken",5510,Production,tonnes,1961,54493.0,A
5058,5500,Oceania,1070,"Meat indigenous, duck",5510,Production,tonnes,1961,1401.0,A
5059,5500,Oceania,1077,"Meat indigenous, geese",5510,Production,tonnes,1961,208.0,A
5060,5500,Oceania,1032,"Meat indigenous, goat",5510,Production,tonnes,1961,1315.0,A
5061,5500,Oceania,1120,"Meat indigenous, horse",5510,Production,tonnes,1961,15259.0,A
5062,5500,Oceania,1055,"Meat indigenous, pig",5510,Production,tonnes,1961,173857.0,A
5063,5500,Oceania,1012,"Meat indigenous, sheep",5510,Production,tonnes,1961,1044410.0,A
5064,5500,Oceania,1087,"Meat indigenous, turkey",5510,Production,tonnes,1961,2453.0,A
5065,5500,Oceania,947,"Meat, buffalo",5510,Production,tonnes,1961,21.0,A
5066,5500,Oceania,867,"Meat, cattle",5510,Production,tonnes,1961,887814.0,A
5067,5500,Oceania,1058,"Meat, chicken",5510,Production,tonnes,1961,54557.0,A
5068,5500,Oceania,1069,"Meat, duck",5510,Production,tonnes,1961,1399.0,A
5069,5500,Oceania,1163,"Meat, game",5510,Production,tonnes,1961,120500.0,A
5070,5500,Oceania,1017,"Meat, goat",5510,Production,tonnes,1961,1315.0,A
5071,5500,Oceania,1073,"Meat, goose and guinea fowl",5510,Production,tonnes,1961,208.0,A
5072,5500,Oceania,1097,"Meat, horse",5510,Production,tonnes,1961,15231.0,A
5073,5500,Oceania,1166,"Meat, nes",5510,Production,tonnes,1961,600.0,A
5074,5500,Oceania,1035,"Meat, pig",5510,Production,tonnes,1961,173785.0,A
5075,5500,Oceania,977,"Meat, sheep",5510,Production,tonnes,1961,1040573.0,A
5076,5500,Oceania,1080,"Meat, turkey",5510,Production,tonnes,1961,2453.0,A
5077,5500,Oceania,1806,Beef and Buffalo Meat,5510,Production,tonnes,1961,887835.0,A
5078,5500,Oceania,1775,"Meat indigenous, poultry",5510,Production,tonnes,1961,58555.0,A
5079,5500,Oceania,1770,"Meat indigenous, total",5510,Production,tonnes,1961,2303732.0,A
5080,5500,Oceania,1808,"Meat, Poultry",5510,Production,tonnes,1961,58618.0,A
5081,5500,Oceania,1765,"Meat, Total",5510,Production,tonnes,1961,2298457.0,A
5082,5500,Oceania,1807,Sheep and Goat Meat,5510,Production,tonnes,1961,1041889.0,A
9761,5100,Africa,1122,"Meat indigenous, ass",5510,Production,tonnes,1962,4466.0,A
9762,5100,Africa,1084,"Meat indigenous, bird nes",5510,Production,tonnes,1962,5400.0,A
9763,5100,Africa,972,"Meat indigenous, buffalo",5510,Production,tonnes,1962,,A
9764,5100,Africa,1137,"Meat indigenous, camel",5510,Production,tonnes,1962,88187.0,A
9765,5100,Africa,944,"Meat indigenous, cattle",5510,Production,tonnes,1962,1787230.0,A
9766,5100,Africa,1094,"Meat indigenous, chicken",5510,Production,tonnes,1962,284599.0,A
9767,5100,Africa,1070,"Meat indigenous, duck",5510,Production,tonnes,1962,17510.0,A
9768,5100,Africa,1077,"Meat indigenous, geese",5510,Production,tonnes,1962,16921.0,A
9769,5100,Africa,1032,"Meat indigenous, goat",5510,Production,tonnes,1962,321505.0,A
9770,5100,Africa,1120,"Meat indigenous, horse",5510,Production,tonnes,1962,10883.0,A
9771,5100,Africa,1055,"Meat indigenous, pig",5510,Production,tonnes,1962,191102.0,A
9772,5100,Africa,1144,"Meat indigenous, rabbit",5510,Production,tonnes,1962,11796.0,A
9773,5100,Africa,1012,"Meat indigenous, sheep",5510,Production,tonnes,1962,479055.0,A
9774,5100,Africa,1087,"Meat indigenous, turkey",5510,Production,tonnes,1962,7010.0,A
9775,5100,Africa,1108,"Meat, ass",5510,Production,tonnes,1962,4226.0,A
9776,5100,Africa,1089,"Meat, bird nes",5510,Production,tonnes,1962,5400.0,A
9777,5100,Africa,947,"Meat, buffalo",5510,Production,tonnes,1962,85000.0,A
9778,5100,Africa,1127,"Meat, camel",5510,Production,tonnes,1962,71792.0,A
9779,5100,Africa,867,"Meat, cattle",5510,Production,tonnes,1962,1886816.0,A
9780,5100,Africa,1058,"Meat, chicken",5510,Production,tonnes,1962,330843.0,A
9781,5100,Africa,1069,"Meat, duck",5510,Production,tonnes,1962,17510.0,A
9782,5100,Africa,1163,"Meat, game",5510,Production,tonnes,1962,398040.0,A
9783,5100,Africa,1017,"Meat, goat",5510,Production,tonnes,1962,314881.0,A
9784,5100,Africa,1073,"Meat, goose and guinea fowl",5510,Production,tonnes,1962,16921.0,A
9785,5100,Africa,1097,"Meat, horse",5510,Production,tonnes,1962,8961.0,A
9786,5100,Africa,1166,"Meat, nes",5510,Production,tonnes,1962,140050.0,A
9787,5100,Africa,1035,"Meat, pig",5510,Production,tonnes,1962,190930.0,A
9788,5100,Africa,1141,"Meat, rabbit",5510,Production,tonnes,1962,11796.0,A
9789,5100,Africa,977,"Meat, sheep",5510,Production,tonnes,1962,468023.0,A
9790,5100,Africa,1080,"Meat, turkey",5510,Production,tonnes,1962,7010.0,A
9791,5100,Africa,1806,Beef and Buffalo Meat,5510,Production,tonnes,1962,1971816.0,A
9792,5100,Africa,1775,"Meat indigenous, poultry",5510,Production,tonnes,1962,331439.0,A
9793,5100,Africa,1770,"Meat indigenous, total",5510,Production,tonnes,1962,3763753.0,A
9794,5100,Africa,1808,"Meat, Poultry",5510,Production,tonnes,1962,377683.0,A
9795,5100,Africa,1765,"Meat, Total",5510,Production,tonnes,1962,3958199.0,A
9796,5100,Africa,1807,Sheep and Goat Meat,5510,Production,tonnes,1962,782904.0,A
9979,5203,Northern America,944,"Meat indigenous, cattle",5510,Production,tonnes,1962,8008684.0,A
9980,5203,Northern America,1094,"Meat indigenous, chicken",5510,Production,tonnes,1962,2816656.0,A
9981,5203,Northern America,1070,"Meat indigenous, duck",5510,Production,tonnes,1962,21223.0,A
9982,5203,Northern America,1077,"Meat indigenous, geese",5510,Production,tonnes,1962,1182.0,A
9983,5203,Northern America,1032,"Meat indigenous, goat",5510,Production,tonnes,1962,1.0,A
9984,5203,Northern America,1120,"Meat indigenous, horse",5510,Production,tonnes,1962,21326.0,A
9985,5203,Northern America,1055,"Meat indigenous, pig",5510,Production,tonnes,1962,5904600.0,A
9986,5203,Northern America,1012,"Meat indigenous, sheep",5510,Production,tonnes,1962,382099.0,A
9987,5203,Northern America,1087,"Meat indigenous, turkey",5510,Production,tonnes,1962,653782.0,A
9988,5203,Northern America,867,"Meat, cattle",5510,Production,tonnes,1962,8076501.0,A
9989,5203,Northern America,1058,"Meat, chicken",5510,Production,tonnes,1962,2812977.0,A
9990,5203,Northern America,1069,"Meat, duck",5510,Production,tonnes,1962,21223.0,A
9991,5203,Northern America,1163,"Meat, game",5510,Production,tonnes,1962,202000.0,A
9992,5203,Northern America,1017,"Meat, goat",5510,Production,tonnes,1962,1.0,A
9993,5203,Northern America,1073,"Meat, goose and guinea fowl",5510,Production,tonnes,1962,1182.0,A
9994,5203,Northern America,1097,"Meat, horse",5510,Production,tonnes,1962,20500.0,A
9995,5203,Northern America,1166,"Meat, nes",5510,Production,tonnes,1962,4365.0,A
9996,5203,Northern America,1035,"Meat, pig",5510,Production,tonnes,1962,5904188.0,A
9997,5203,Northern America,977,"Meat, sheep",5510,Production,tonnes,1962,381627.0,A
9998,5203,Northern America,1080,"Meat, turkey",5510,Production,tonnes,1962,653693.0,A
9999,5203,Northern America,1806,Beef and Buffalo Meat,5510,Production,tonnes,1962,8076501.0,A
10000,5203,Northern America,1775,"Meat indigenous, poultry",5510,Production,tonnes,1962,3492843.0,A
10001,5203,Northern America,1770,"Meat indigenous, total",5510,Production,tonnes,1962,18015919.0,A
10002,5203,Northern America,1808,"Meat, Poultry",5510,Production,tonnes,1962,3489075.0,A
10003,5203,Northern America,1765,"Meat, Total",5510,Production,tonnes,1962,18078257.0,A
10004,5203,Northern America,1807,Sheep and Goat Meat,5510,Production,tonnes,1962,381628.0,A
10056,5207,South America,944,"Meat indigenous, cattle",5510,Production,tonnes,1962,4918537.0,A
10057,5207,South America,1094,"Meat indigenous, chicken",5510,Production,tonnes,1962,321998.0,A
10058,5207,South America,1070,"Meat indigenous, duck",5510,Production,tonnes,1962,8245.0,A
10059,5207,South America,1077,"Meat indigenous, geese",5510,Production,tonnes,1962,568.0,A
10060,5207,South America,1032,"Meat indigenous, goat",5510,Production,tonnes,1962,67094.0,A
10061,5207,South America,1120,"Meat indigenous, horse",5510,Production,tonnes,1962,88294.0,A
10062,5207,South America,1161,"Meat indigenous, other camelids",5510,Production,tonnes,1962,29848.0,A
10063,5207,South America,1055,"Meat indigenous, pig",5510,Production,tonnes,1962,1013026.0,A
10064,5207,South America,1144,"Meat indigenous, rabbit",5510,Production,tonnes,1962,9964.0,A
10065,5207,South America,1154,"Meat indigenous, rodents",5510,Production,tonnes,1962,20853.0,A
10066,5207,South America,1012,"Meat indigenous, sheep",5510,Production,tonnes,1962,319974.0,A
10067,5207,South America,1087,"Meat indigenous, turkey",5510,Production,tonnes,1962,7949.0,A
10068,5207,South America,867,"Meat, cattle",5510,Production,tonnes,1962,4925593.0,A
10069,5207,South America,1058,"Meat, chicken",5510,Production,tonnes,1962,323079.0,A
10070,5207,South America,1069,"Meat, duck",5510,Production,tonnes,1962,8245.0,A
10071,5207,South America,1163,"Meat, game",5510,Production,tonnes,1962,31000.0,A
10072,5207,South America,1017,"Meat, goat",5510,Production,tonnes,1962,67100.0,A
10073,5207,South America,1073,"Meat, goose and guinea fowl",5510,Production,tonnes,1962,568.0,A
10074,5207,South America,1097,"Meat, horse",5510,Production,tonnes,1962,87949.0,A
