,Area Code,Area,Year,Unit,Value
0,5000,World,1961,1000 persons,3091843.5069999998
1,5000,World,1962,1000 persons,3150420.795
2,5000,World,1963,1000 persons,3211001.0089999996
3,5000,World,1964,1000 persons,3273978.338
4,5000,World,1965,1000 persons,3339583.597
5,5000,World,1966,1000 persons,3407922.63
6,5000,World,1967,1000 persons,3478769.962
7,5000,World,1968,1000 persons,3551599.127
8,5000,World,1969,1000 persons,3625680.627
9,5000,World,1970,1000 persons,3700437.046
10,5000,World,1971,1000 persons,3775759.617
11,5000,World,1972,1000 persons,3851650.245
12,5000,World,1973,1000 persons,3927780.238
13,5000,World,1974,1000 persons,4003794.172
14,5000,World,1975,1000 persons,4079480.606
15,5000,World,1976,1000 persons,4154666.8639999996
16,5000,World,1977,1000 persons,4229506.06
17,5000,World,1978,1000 persons,4304533.501
18,5000,World,1979,1000 persons,4380506.1
19,5000,World,1980,1000 persons,4458003.5139999995
20,5000,World,1981,1000 persons,4536996.762
21,5000,World,1982,1000 persons,4617386.541999999
22,5000,World,1983,1000 persons,4699569.304
23,5000,World,1984,1000 persons,4784011.621
24,5000,World,1985,1000 persons,4870921.74
25,5000,World,1986,1000 persons,4960567.912
26,5000,World,1987,1000 persons,5052522.147
27,5000,World,1988,1000 persons,5145426.008
28,5000,World,1989,1000 persons,5237441.558
29,5000,World,1990,1000 persons,5327231.061000001
30,5000,World,1991,1000 persons,5414289.444
31,5000,World,1992,1000 persons,5498919.808999999
32,5000,World,1993,1000 persons,5581597.546
33,5000,World,1994,1000 persons,5663150.427
34,5000,World,1995,1000 persons,5744212.978999999
35,5000,World,1996,1000 persons,5824891.951
36,5000,World,1997,1000 persons,5905045.788
37,5000,World,1998,1000 persons,5984793.942000001
38,5000,World,1999,1000 persons,6064239.055
39,5000,World,2000,1000 persons,6143493.823
40,5000,World,2001,1000 persons,6222626.606000001
41,5000,World,2002,1000 persons,6301773.187999999
42,5000,World,2003,1000 persons,6381185.114
43,5000,World,2004,1000 persons,6461159.3889999995
44,5000,World,2005,1000 persons,6541907.027000001
