,Area Code,Area,Year,Unit,Value
0,2,Afghanistan,1961,1000 persons,9169.41
1,2,Afghanistan,1962,1000 persons,9351.440999999999
2,2,Afghanistan,1963,1000 persons,9543.205
3,2,Afghanistan,1964,1000 persons,9744.780999999999
4,2,Afghanistan,1965,1000 persons,9956.32
5,2,Afghanistan,1966,1000 persons,10174.836
6,2,Afghanistan,1967,1000 persons,10399.926
7,2,Afghanistan,1968,1000 persons,10637.063
8,2,Afghanistan,1969,1000 persons,10893.776000000002
9,2,Afghanistan,1970,1000 persons,11173.642
10,2,Afghanistan,1971,1000 persons,11475.445
11,2,Afghanistan,1972,1000 persons,11791.215
12,2,Afghanistan,1973,1000 persons,12108.963
13,2,Afghanistan,1974,1000 persons,12412.95
14,2,Afghanistan,1975,1000 persons,12689.16
15,2,Afghanistan,1976,1000 persons,12943.093
16,2,Afghanistan,1977,1000 persons,13171.306
17,2,Afghanistan,1978,1000 persons,13341.198
18,2,Afghanistan,1979,1000 persons,13411.056
19,2,Afghanistan,1980,1000 persons,13356.511
20,2,Afghanistan,1981,1000 persons,13171.673
21,2,Afghanistan,1982,1000 persons,12882.528
22,2,Afghanistan,1983,1000 persons,12537.73
23,2,Afghanistan,1984,1000 persons,12204.292
24,2,Afghanistan,1985,1000 persons,11938.208
25,2,Afghanistan,1986,1000 persons,11736.178999999998
26,2,Afghanistan,1987,1000 persons,11604.534
27,2,Afghanistan,1988,1000 persons,11618.005
28,2,Afghanistan,1989,1000 persons,11868.877
29,2,Afghanistan,1990,1000 persons,12412.308
30,2,Afghanistan,1991,1000 persons,13299.017
31,2,Afghanistan,1992,1000 persons,14485.546
32,2,Afghanistan,1993,1000 persons,15816.603000000001
33,2,Afghanistan,1994,1000 persons,17075.727
34,2,Afghanistan,1995,1000 persons,18110.657
35,2,Afghanistan,1996,1000 persons,18853.436999999998
36,2,Afghanistan,1997,1000 persons,19357.126
37,2,Afghanistan,1998,1000 persons,19737.765
38,2,Afghanistan,1999,1000 persons,20170.843999999997
39,2,Afghanistan,2000,1000 persons,20779.953
40,2,Afghanistan,2001,1000 persons,21606.987999999998
41,2,Afghanistan,2002,1000 persons,22600.77
42,2,Afghanistan,2003,1000 persons,23680.871
43,2,Afghanistan,2004,1000 persons,24726.683999999997
44,2,Afghanistan,2005,1000 persons,25654.277000000002
45,2,Afghanistan,2006,1000 persons,26433.049
46,2,Afghanistan,2007,1000 persons,27100.536
47,2,Afghanistan,2008,1000 persons,27722.276
48,2,Afghanistan,2009,1000 persons,28394.813
49,2,Afghanistan,2010,1000 persons,29185.507
50,2,Afghanistan,2011,1000 persons,30117.412999999997
51,2,Afghanistan,2012,1000 persons,31161.376
52,2,Afghanistan,2013,1000 persons,32269.589
53,3,Albania,1961,1000 persons,1685.9360000000001
54,3,Albania,1962,1000 persons,1737.6860000000001
55,3,Albania,1963,1000 persons,1790.5729999999999
56,3,Albania,1964,1000 persons,1843.634
57,3,Albania,1965,1000 persons,1896.171
58,3,Albania,1966,1000 persons,1947.83
59,3,Albania,1967,1000 persons,1998.74
60,3,Albania,1968,1000 persons,2049.21
61,3,Albania,1969,1000 persons,2099.729
62,3,Albania,1970,1000 persons,2150.7070000000003
63,3,Albania,1971,1000 persons,2202.189
64,3,Albania,1972,1000 persons,2254.056
65,3,Albania,1973,1000 persons,2306.29
66,3,Albania,1974,1000 persons,2358.846
67,3,Albania,1975,1000 persons,2411.732
68,3,Albania,1976,1000 persons,2464.9829999999997
69,3,Albania,1977,1000 persons,2518.685
70,3,Albania,1978,1000 persons,2572.85
71,3,Albania,1979,1000 persons,2627.505
72,3,Albania,1980,1000 persons,2682.69
73,3,Albania,1981,1000 persons,2737.026
74,3,Albania,1982,1000 persons,2790.275
75,3,Albania,1983,1000 persons,2844.8709999999996
76,3,Albania,1984,1000 persons,2904.14
77,3,Albania,1985,1000 persons,2969.672
78,3,Albania,1986,1000 persons,3044.212
79,3,Albania,1987,1000 persons,3124.8940000000002
80,3,Albania,1988,1000 persons,3200.9770000000003
81,3,Albania,1989,1000 persons,3257.925
82,3,Albania,1990,1000 persons,3286.073
83,3,Albania,1991,1000 persons,3280.395
84,3,Albania,1992,1000 persons,3245.886
85,3,Albania,1993,1000 persons,3195.199
86,3,Albania,1994,1000 persons,3146.5190000000002
87,3,Albania,1995,1000 persons,3112.9359999999997
88,3,Albania,1996,1000 persons,3098.7
89,3,Albania,1997,1000 persons,3099.752
90,3,Albania,1998,1000 persons,3110.6820000000002
91,3,Albania,1999,1000 persons,3122.697
92,3,Albania,2000,1000 persons,3129.243
93,3,Albania,2001,1000 persons,3129.704
94,3,Albania,2002,1000 persons,3126.187
95,3,Albania,2003,1000 persons,3118.0229999999997
96,3,Albania,2004,1000 persons,3104.8920000000003
97,3,Albania,2005,1000 persons,3086.81
98,3,Albania,2006,1000 persons,3063.0209999999997
99,3,Albania,2007,1000 persons,3033.998
100,3,Albania,2008,1000 persons,3002.678
101,3,Albania,2009,1000 persons,2973.048
102,3,Albania,2010,1000 persons,2948.0229999999997
103,3,Albania,2011,1000 persons,2928.592
104,3,Albania,2012,1000 persons,2914.0959999999995
105,3,Albania,2013,1000 persons,2903.79
106,4,Algeria,1961,1000 persons,11336.339
107,4,Algeria,1962,1000 persons,11619.828000000001
108,4,Algeria,1963,1000 persons,11912.803
109,4,Algeria,1964,1000 persons,12221.675
110,4,Algeria,1965,1000 persons,12550.885
111,4,Algeria,1966,1000 persons,12902.627
112,4,Algeria,1967,1000 persons,13275.026000000002
113,4,Algeria,1968,1000 persons,13663.583
114,4,Algeria,1969,1000 persons,14061.722
115,4,Algeria,1970,1000 persons,14464.985
116,4,Algeria,1971,1000 persons,14872.25
117,4,Algeria,1972,1000 persons,15285.99
118,4,Algeria,1973,1000 persons,15709.825
119,4,Algeria,1974,1000 persons,16149.025
120,4,Algeria,1975,1000 persons,16607.707
121,4,Algeria,1976,1000 persons,17085.801
122,4,Algeria,1977,1000 persons,17582.904
123,4,Algeria,1978,1000 persons,18102.266
124,4,Algeria,1979,1000 persons,18647.815
125,4,Algeria,1980,1000 persons,19221.665
126,4,Algeria,1981,1000 persons,19824.301
127,4,Algeria,1982,1000 persons,20452.902
128,4,Algeria,1983,1000 persons,21101.875
129,4,Algeria,1984,1000 persons,21763.575
130,4,Algeria,1985,1000 persons,22431.502
131,4,Algeria,1986,1000 persons,23102.389
132,4,Algeria,1987,1000 persons,23774.284
133,4,Algeria,1988,1000 persons,24443.467
134,4,Algeria,1989,1000 persons,25106.19
135,4,Algeria,1990,1000 persons,25758.869
136,4,Algeria,1991,1000 persons,26400.479
137,4,Algeria,1992,1000 persons,27028.326
138,4,Algeria,1993,1000 persons,27635.515
139,4,Algeria,1994,1000 persons,28213.773999999998
140,4,Algeria,1995,1000 persons,28757.785
141,4,Algeria,1996,1000 persons,29266.405
142,4,Algeria,1997,1000 persons,29742.979
143,4,Algeria,1998,1000 persons,30192.754
144,4,Algeria,1999,1000 persons,30623.406000000003
145,4,Algeria,2000,1000 persons,31042.235
146,4,Algeria,2001,1000 persons,31451.514
147,4,Algeria,2002,1000 persons,31855.109
148,4,Algeria,2003,1000 persons,32264.157000000003
149,4,Algeria,2004,1000 persons,32692.162999999997
150,4,Algeria,2005,1000 persons,33149.724
151,4,Algeria,2006,1000 persons,33641.002
152,4,Algeria,2007,1000 persons,34166.972
153,4,Algeria,2008,1000 persons,34730.608
154,4,Algeria,2009,1000 persons,35333.881
155,4,Algeria,2010,1000 persons,35977.455
156,4,Algeria,2011,1000 persons,36661.445
157,4,Algeria,2012,1000 persons,37383.895
158,4,Algeria,2013,1000 persons,38140.133
159,5,American Samoa,1961,1000 persons,20.601999999999997
160,5,American Samoa,1962,1000 persons,21.253
161,5,American Samoa,1963,1000 persons,22.034000000000002
162,5,American Samoa,1964,1000 persons,22.854
163,5,American Samoa,1965,1000 persons,23.671999999999997
164,5,American Samoa,1966,1000 persons,24.462
165,5,American Samoa,1967,1000 persons,25.248
166,5,American Samoa,1968,1000 persons,25.989
167,5,American Samoa,1969,1000 persons,26.703000000000003
168,5,American Samoa,1970,1000 persons,27.363000000000003
169,5,American Samoa,1971,1000 persons,27.984
170,5,American Samoa,1972,1000 persons,28.566999999999997
171,5,American Samoa,1973,1000 persons,29.1
172,5,American Samoa,1974,1000 persons,29.596
173,5,American Samoa,1975,1000 persons,30.052
174,5,American Samoa,1976,1000 persons,30.456
175,5,American Samoa,1977,1000 persons,30.838
176,5,American Samoa,1978,1000 persons,31.269000000000002
177,5,American Samoa,1979,1000 persons,31.845
178,5,American Samoa,1980,1000 persons,32.646
179,5,American Samoa,1981,1000 persons,33.701
180,5,American Samoa,1982,1000 persons,34.968
181,5,American Samoa,1983,1000 persons,36.412
182,5,American Samoa,1984,1000 persons,37.946
183,5,American Samoa,1985,1000 persons,39.519
184,5,American Samoa,1986,1000 persons,41.119
185,5,American Samoa,1987,1000 persons,42.74
186,5,American Samoa,1988,1000 persons,44.343
187,5,American Samoa,1989,1000 persons,45.894
188,5,American Samoa,1990,1000 persons,47.347
189,5,American Samoa,1991,1000 persons,48.685
190,5,American Samoa,1992,1000 persons,49.896
191,5,American Samoa,1993,1000 persons,51.02
192,5,American Samoa,1994,1000 persons,52.095
193,5,American Samoa,1995,1000 persons,53.161
194,5,American Samoa,1996,1000 persons,54.211000000000006
195,5,American Samoa,1997,1000 persons,55.221000000000004
196,5,American Samoa,1998,1000 persons,56.17100000000001
197,5,American Samoa,1999,1000 persons,57.053000000000004
198,5,American Samoa,2000,1000 persons,57.821000000000005
199,5,American Samoa,2001,1000 persons,58.494
200,5,American Samoa,2002,1000 persons,59.08
201,5,American Samoa,2003,1000 persons,59.504
202,5,American Samoa,2004,1000 persons,59.681000000000004
203,5,American Samoa,2005,1000 persons,59.562
204,5,American Samoa,2006,1000 persons,59.107
205,5,American Samoa,2007,1000 persons,58.365
206,5,American Samoa,2008,1000 persons,57.492
207,5,American Samoa,2009,1000 persons,56.683
208,5,American Samoa,2010,1000 persons,56.07899999999999
209,5,American Samoa,2011,1000 persons,55.75899999999999
210,5,American Samoa,2012,1000 persons,55.667
211,5,American Samoa,2013,1000 persons,55.713
212,6,Andorra,1961,1000 persons,14.375
213,6,Andorra,1962,1000 persons,15.37
214,6,Andorra,1963,1000 persons,16.412
215,6,Andorra,1964,1000 persons,17.469
216,6,Andorra,1965,1000 persons,18.549
217,6,Andorra,1966,1000 persons,19.647000000000002
218,6,Andorra,1967,1000 persons,20.758000000000003
219,6,Andorra,1968,1000 persons,21.89
220,6,Andorra,1969,1000 persons,23.058000000000003
221,6,Andorra,1970,1000 persons,24.276
222,6,Andorra,1971,1000 persons,25.559
223,6,Andorra,1972,1000 persons,26.892
224,6,Andorra,1973,1000 persons,28.232
225,6,Andorra,1974,1000 persons,29.52
226,6,Andorra,1975,1000 persons,30.705
227,6,Andorra,1976,1000 persons,31.776999999999997
228,6,Andorra,1977,1000 persons,32.771
229,6,Andorra,1978,1000 persons,33.736999999999995
230,6,Andorra,1979,1000 persons,34.818000000000005
231,6,Andorra,1980,1000 persons,36.067
232,6,Andorra,1981,1000 persons,37.5
233,6,Andorra,1982,1000 persons,39.114000000000004
234,6,Andorra,1983,1000 persons,40.867
235,6,Andorra,1984,1000 persons,42.706
236,6,Andorra,1985,1000 persons,44.6
237,6,Andorra,1986,1000 persons,46.516999999999996
238,6,Andorra,1987,1000 persons,48.455
239,6,Andorra,1988,1000 persons,50.434
240,6,Andorra,1989,1000 persons,52.448
241,6,Andorra,1990,1000 persons,54.50899999999999
242,6,Andorra,1991,1000 persons,56.67100000000001
243,6,Andorra,1992,1000 persons,58.888000000000005
244,6,Andorra,1993,1000 persons,60.971000000000004
245,6,Andorra,1994,1000 persons,62.677
246,6,Andorra,1995,1000 persons,63.85
247,6,Andorra,1996,1000 persons,64.36
248,6,Andorra,1997,1000 persons,64.327
249,6,Andorra,1998,1000 persons,64.142
250,6,Andorra,1999,1000 persons,64.37
251,6,Andorra,2000,1000 persons,65.39
252,6,Andorra,2001,1000 persons,67.34100000000001
253,6,Andorra,2002,1000 persons,70.04899999999999
254,6,Andorra,2003,1000 persons,73.182
255,6,Andorra,2004,1000 persons,76.244
256,6,Andorra,2005,1000 persons,78.867
257,6,Andorra,2006,1000 persons,80.993
258,6,Andorra,2007,1000 persons,82.684
259,6,Andorra,2008,1000 persons,83.86200000000001
260,6,Andorra,2009,1000 persons,84.463
261,6,Andorra,2010,1000 persons,84.449
262,6,Andorra,2011,1000 persons,83.74700000000001
263,6,Andorra,2012,1000 persons,82.427
264,6,Andorra,2013,1000 persons,80.774
265,7,Angola,1961,1000 persons,5531.472
266,7,Angola,1962,1000 persons,5608.539000000001
267,7,Angola,1963,1000 persons,5679.4580000000005
268,7,Angola,1964,1000 persons,5735.044
269,7,Angola,1965,1000 persons,5770.57
270,7,Angola,1966,1000 persons,5781.214
271,7,Angola,1967,1000 persons,5774.243
272,7,Angola,1968,1000 persons,5771.651999999999
273,7,Angola,1969,1000 persons,5803.254
274,7,Angola,1970,1000 persons,5890.365
275,7,Angola,1971,1000 persons,6040.776999999999
276,7,Angola,1972,1000 persons,6248.552
277,7,Angola,1973,1000 persons,6496.9619999999995
278,7,Angola,1974,1000 persons,6761.38
279,7,Angola,1975,1000 persons,7024.0
280,7,Angola,1976,1000 persons,7279.509
281,7,Angola,1977,1000 persons,7533.735
282,7,Angola,1978,1000 persons,7790.706999999999
283,7,Angola,1979,1000 persons,8058.066999999999
284,7,Angola,1980,1000 persons,8341.289
285,7,Angola,1981,1000 persons,8640.446
286,7,Angola,1982,1000 persons,8952.95
287,7,Angola,1983,1000 persons,9278.096
288,7,Angola,1984,1000 persons,9614.754
289,7,Angola,1985,1000 persons,9961.997
290,7,Angola,1986,1000 persons,10320.110999999999
291,7,Angola,1987,1000 persons,10689.25
292,7,Angola,1988,1000 persons,11068.05
293,7,Angola,1989,1000 persons,11454.777
294,7,Angola,1990,1000 persons,11848.386
295,7,Angola,1991,1000 persons,12248.901000000002
296,7,Angola,1992,1000 persons,12657.366000000002
