Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1990","1990","gigagrams","569252.9048","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1991","1991","gigagrams","571132.4325","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1992","1992","gigagrams","578389.2402","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1993","1993","gigagrams","578990.5336","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1994","1994","gigagrams","586133.4285","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1995","1995","gigagrams","595586.8687","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1996","1996","gigagrams","602720.8746","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1997","1997","gigagrams","610309.355","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1998","1998","gigagrams","644803.2528","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1999","1999","gigagrams","645219.4355","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2000","2000","gigagrams","652455.64","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions by sector","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2001","2001","gigagrams","661208.4599","A","Aggregate, may include official, semi-official, estimated or calculated data"
