Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1961","1961","gigagrams","6404.6437","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1962","1962","gigagrams","6841.1636","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1963","1963","gigagrams","7246.6931","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1964","1964","gigagrams","7400.0959","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1965","1965","gigagrams","7668.5256","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1966","1966","gigagrams","7287.1636","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1967","1967","gigagrams","8344.9225","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1968","1968","gigagrams","8482.4033","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1969","1969","gigagrams","8938.759","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1970","1970","gigagrams","9207.8675","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1971","1971","gigagrams","9899.7713","A","Aggregate, may include official, semi-official, estimated or calculated data"
