Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1961","1961","gigagrams","233438.4999","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1962","1962","gigagrams","237662.8733","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1963","1963","gigagrams","241883.7194","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1964","1964","gigagrams","248689.6523","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1965","1965","gigagrams","255912.4287","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1966","1966","gigagrams","260325.9482","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1967","1967","gigagrams","270080.4136","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1968","1968","gigagrams","278288.406","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1969","1969","gigagrams","284094.1318","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1970","1970","gigagrams","289062.6459","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1971","1971","gigagrams","293824.0031","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1972","1972","gigagrams","295462.9448","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1973","1973","gigagrams","295652.0408","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1974","1974","gigagrams","298006.7114","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1975","1975","gigagrams","305444.1486","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1976","1976","gigagrams","309786.1273","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1977","1977","gigagrams","317357.0238","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1978","1978","gigagrams","327186.1649","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1979","1979","gigagrams","335482.349","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1980","1980","gigagrams","341249.8161","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1981","1981","gigagrams","346602.823","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1982","1982","gigagrams","353348.4395","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1983","1983","gigagrams","355157.9161","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1984","1984","gigagrams","348713.0112","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1985","1985","gigagrams","355012.5702","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1986","1986","gigagrams","362425.2446","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1987","1987","gigagrams","363151.1709","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1988","1988","gigagrams","372632.1973","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1989","1989","gigagrams","384838.3799","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1990","1990","gigagrams","591313.5126","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1991","1991","gigagrams","593519.8895","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1992","1992","gigagrams","600299.2892","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1993","1993","gigagrams","600732.482","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1994","1994","gigagrams","607993.4377","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1995","1995","gigagrams","616921.7282","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1996","1996","gigagrams","605339.67","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1997","1997","gigagrams","612777.3853","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1998","1998","gigagrams","646788.289","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","1999","1999","gigagrams","647219.737","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2000","2000","gigagrams","656179.9854","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2001","2001","gigagrams","681036.5662","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2002","2002","gigagrams","710409.014","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2003","2003","gigagrams","731017.1239","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2004","2004","gigagrams","726933.8497","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2005","2005","gigagrams","768324.3856","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2006","2006","gigagrams","748797.7949","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2007","2007","gigagrams","786779.1808","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2008","2008","gigagrams","810052.0206","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2009","2009","gigagrams","790949.0416","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2010","2010","gigagrams","834309.5356","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2011","2011","gigagrams","851180.5528","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2012","2012","gigagrams","849069.1667","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2013","2013","gigagrams","853621.2194","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2014","2014","gigagrams","854475.5623","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2015","2015","gigagrams","903270.0592","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2016","2016","gigagrams","936234.3419","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5100","Africa","7231","Emissions (CO2eq)","1711","Agriculture total","2017","2017","gigagrams","952860.3664","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1961","1961","gigagrams","315617.8155","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1962","1962","gigagrams","324976.9837","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1963","1963","gigagrams","334145.3664","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1964","1964","gigagrams","339360.1394","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1965","1965","gigagrams","344662.1254","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1966","1966","gigagrams","345206.6436","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1967","1967","gigagrams","351423.2821","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1968","1968","gigagrams","352334.1207","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1969","1969","gigagrams","354287.8326","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1970","1970","gigagrams","358433.2327","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1971","1971","gigagrams","368751.7897","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1972","1972","gigagrams","373694.6851","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1973","1973","gigagrams","386840.2296","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1974","1974","gigagrams","393813.8541","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1975","1975","gigagrams","414153.5134","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1976","1976","gigagrams","406272.3947","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1977","1977","gigagrams","395157.3378","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1978","1978","gigagrams","390793.1454","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1979","1979","gigagrams","388031.0921","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1980","1980","gigagrams","395586.0437","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1981","1981","gigagrams","401027.657","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1982","1982","gigagrams","389951.6138","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1983","1983","gigagrams","388117.6333","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1984","1984","gigagrams","395809.1337","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1985","1985","gigagrams","382901.7997","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1986","1986","gigagrams","370157.5589","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1987","1987","gigagrams","362526.3571","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5203","Northern America","7231","Emissions (CO2eq)","1711","Agriculture total","1988","1988","gigagrams","356349.8079","A","Aggregate, may include official, semi-official, estimated or calculated data",""
